"Virtual";"Cycles";"Delivered packets";"Received packets";"Delivery rate (flits/node/cycle)";"Arrival rate (flits/node/cycle)";"Head Latency";"Head Latency (no locks)";"Packet Latency";"Packet Latency (no locks)";"Lock cycles";"Average Path (nodes)"
4;108882;20102;20100;0.183719;0.183685;10.536200;10.452050;29.501550;29.417400;0.084150;3.681400
4;104312;20105;20100;0.191786;0.191732;10.603850;10.489750;29.982300;29.868200;0.114100;3.684750
4;100250;20107;20100;0.199579;0.199501;10.623800;10.511900;30.223300;30.111400;0.111900;3.687300
4;96285;20105;20100;0.207777;0.207717;10.596200;10.487400;30.295700;30.186900;0.108800;3.675950
4;92336;20106;20100;0.216674;0.216600;10.653850;10.509600;30.745850;30.601600;0.144250;3.674600
4;87965;20104;20100;0.227438;0.227363;10.715250;10.532550;31.051000;30.868300;0.182700;3.673600
4;84974;20108;20100;0.235469;0.235366;10.728650;10.552150;31.303750;31.127250;0.176500;3.673550
4;82763;20108;20100;0.241757;0.241654;10.833350;10.626350;31.719100;31.512100;0.207000;3.694850
4;79355;20106;20100;0.252117;0.252032;10.829800;10.618800;32.049650;31.838650;0.211000;3.681550
4;76804;20114;20101;0.260602;0.260416;10.878806;10.639868;32.286436;32.047498;0.238938;3.681766
4;74740;20105;20100;0.267693;0.267594;10.874100;10.629200;32.507750;32.262850;0.244900;3.675050
4;72606;20111;20101;0.275666;0.275473;10.939353;10.638168;33.029699;32.728514;0.301185;3.671866
4;69904;20115;20100;0.286336;0.286107;10.996000;10.698950;33.043250;32.746200;0.297050;3.683250
4;68228;20114;20101;0.293346;0.293149;11.037498;10.693515;33.577171;33.233188;0.343983;3.674816
4;66217;20111;20100;0.302209;0.302037;11.072700;10.712550;33.792550;33.432400;0.360150;3.673750
4;64341;20107;20101;0.310963;0.310859;11.157192;10.745063;34.248088;33.835958;0.412129;3.677616
4;62232;20113;20100;0.321603;0.321378;11.308200;10.780150;35.145550;34.617500;0.528050;3.677450
4;61120;20116;20100;0.327498;0.327225;11.319850;10.801550;35.090600;34.572300;0.518300;3.681050
4;58887;20114;20100;0.339877;0.339634;11.415600;10.847550;35.772700;35.204650;0.568050;3.682500
4;57697;20112;20100;0.346882;0.346638;11.547100;10.860750;36.471900;35.785550;0.686350;3.680200
4;56679;20110;20100;0.353046;0.352864;11.450750;10.854450;36.237850;35.641550;0.596300;3.677650
4;54829;20112;20100;0.365001;0.364770;11.637950;10.869200;36.991600;36.222850;0.768750;3.671950
4;54069;20117;20101;0.370244;0.369916;11.690815;10.915054;37.520774;36.745013;0.775761;3.679416
4;52653;20112;20100;0.380078;0.379845;11.667400;10.879150;37.417750;36.629500;0.788250;3.667750
4;52200;20112;20100;0.383428;0.383142;11.800600;10.933500;37.862300;36.995200;0.867100;3.677200
4;50869;20118;20100;0.393533;0.393167;11.978400;10.989300;38.629950;37.640850;0.989100;3.683400
4;49528;20116;20100;0.404155;0.403812;11.997200;10.999450;38.868400;37.870650;0.997750;3.680000
4;48824;20118;20100;0.410007;0.409635;12.227200;11.000650;39.770000;38.543450;1.226550;3.672050
4;48036;20126;20100;0.416899;0.416354;12.239500;11.010800;40.021350;38.792650;1.228700;3.670850
4;46556;20122;20100;0.430066;0.429590;12.448450;11.086600;40.838750;39.476900;1.361850;3.684550
4;45666;20125;20100;0.438513;0.437963;12.504050;11.002100;41.033050;39.531100;1.501950;3.655850
4;44613;20125;20101;0.448862;0.448322;12.823009;11.105095;42.102645;40.384731;1.717914;3.675416
4;43616;20124;20100;0.459099;0.458547;13.250000;11.211900;43.547800;41.509700;2.038100;3.692100
4;43176;20119;20100;0.463684;0.463220;13.069600;11.118750;43.071250;41.120400;1.950850;3.672300
4;42480;20130;20101;0.471540;0.470833;13.259287;11.190040;43.765662;41.696415;2.069247;3.683366
4;41771;20122;20100;0.479340;0.478801;13.302200;11.201100;44.372050;42.270950;2.101100;3.675250
4;40772;20120;20100;0.491036;0.490533;13.804750;11.262350;45.404550;42.862150;2.542400;3.686850
4;40186;20130;20101;0.498432;0.497711;14.191890;11.293235;46.223389;43.324734;2.898655;3.689166
4;39710;20126;20101;0.504331;0.503677;14.065397;11.325384;46.312584;43.572571;2.740013;3.692165
4;38726;20120;20100;0.516964;0.516449;14.283600;11.285700;47.078700;44.080800;2.997900;3.673550
4;38318;20126;20100;0.522707;0.521948;14.704750;11.338050;47.757150;44.390450;3.366700;3.685250
4;37605;20133;20101;0.532748;0.531871;14.944953;11.382981;48.745313;45.183341;3.561972;3.688516
4;37074;20137;20101;0.540457;0.539489;15.113894;11.381181;49.285536;45.552822;3.732713;3.684166
4;36422;20126;20100;0.549830;0.549119;15.996600;11.369300;50.761350;46.134050;4.627300;3.669900
4;35766;20128;20100;0.560017;0.559190;15.790700;11.428850;50.899750;46.537900;4.361850;3.683650
4;35371;20127;20100;0.566227;0.565435;16.545050;11.500050;52.579700;47.534700;5.045000;3.693250
4;34858;20120;20100;0.574326;0.573756;17.423200;11.504250;54.005500;48.086550;5.918950;3.689500
4;34251;20131;20101;0.584859;0.583954;17.667267;11.471176;54.593370;48.397280;6.196090;3.671866
4;33864;20128;20100;0.591419;0.590598;17.931550;11.531300;55.124950;48.724700;6.400250;3.684350
4;33266;20150;20100;0.602711;0.601214;18.488450;11.502200;56.424800;49.438550;6.986250;3.668100
